cluster,rank,customer_text,brand_text
2,2,@AppleSupport 11.0.2. Is this smting to do with the update?,@554277 That is not expected. We'd like to help. What iOS version are you running? You can check in Settings &gt; General &gt; About
2,3,@AppleSupport Obvi I know but can we please incorporate this in the next update,"@712092 Thanks for reaching out to us. They are either enabled or disabled, and can't be changed for each contact."
2,4,@AppleSupport Y’all need to get on the ball with the update then,@527695 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2,5,@AppleSupport No it's been there since your new update .,@151986 Thank you. Does restarting the device resolve the issue?
2,6,@AppleSupport @19964 do you have an update for freelander 2 bleutooth that support #ios11update?,@218019 We would encourage you to reach out to the car manufacturer to see if there are updates to the stereo system.
2,7,@AppleSupport Problems with it until the last update.,@707865 We'd like to help with your iPhone. Tell us more about the issues you're experiencing so we can look into this further.
2,8,@AppleSupport Done the update still the same thing,@817567 Great! Keep us updated on the outcome. We look forward to hearing back from you.
2,9,@AppleSupport But not the same as before the latest update.,@680089 We'd be happy to look into this with you. Send us a DM and we will work from there. https://t.co/GDrqU22YpT
2,10,@AppleSupport So it shouldn’t update at all then now since I deleted the update?,@446990 Thank you for that screenshot. It looks like the update did not finish downloading or installing so the iPhone will not update at this time.
3,1,@AppleSupport Take it off.  Its just more clutter.,@500577 The App Store symbol in Messages is to connect to the App Store for iMessage Apps. Learn more here: https://t.co/p3VWFbkGwp
3,2,"@AppleSupport @553376 Just give him a beer, he’s not himself when he’s thirsty. 🍺",@553376 Could you Direct Message us and let us know what country you're located in? We'd like to look into this further. https://t.co/GDrqU22YpT
3,3,@AppleSupport or y’all could just actually fix it 🙄,@624062 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,4,@AppleSupport Lookup #appleglitch  it’s not just me with the problem.,@664638 We'd be happy to take a look at any issue you're having. Please tell us more about what you're experiencing.
3,5,"@AppleSupport Boi it happening to like everyone not just me, FIX WHATEVER YOU DID","@237064 We'd like to look into this with you. To get started, let us know which device you're using and the iOS version installed."
3,6,@AppleSupport You should just fix the problem.,@629070 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,7,@AppleSupport How about you just fix it across all devices ???,@812865 We'd like to look into this with you. DM us the details of what you are experiencing and we'll get started. https://t.co/GDrqU22YpT
3,8,@AppleSupport Just fix the problem! No one has time for that,@503323 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,9,@AppleSupport Just please fix the letter i first,"Seamlessly set up your new #iPhoneX, just by holding it near a device you already own. Here's how, with Automatic Setup in iOS 11. https://t.co/aWk5ExytMJ"
3,10,@AppleSupport 😑 that’s lame! When will you fix it?,@488296 We'd recommend trying the steps here: https://t.co/xU1AGHStV6
4,1,@AppleSupport It’s the iPhone 6 and it’s ios 11.1.2,@141459 We'll be happy to look into what's going on with your bookmarks and the iPhone being slow. Which iPhone and iOS 11 version are you using?
4,2,"@AppleSupport It’s an iPhone 7, and I’m on iOS 11.1.2","@266424 Let’s work together so you can enjoy Apple Music! To start, can you tell us which iPhone you have and which iOS is on it? You can find out by going to Settings &gt; General &gt; About."
4,3,@AppleSupport i have an iphone 7+ and ios 11.2,@250272 We want to help. Please let us know which iPhone model you own. Also which iOS version is currently running on your device.
4,4,@AppleSupport I have an iPhone 7+ on the iOS 11.0.1,@187667 That's not the experience we want you to have. Can you tell us a bit more about what's going on?
4,5,@AppleSupport i have the iphone 6 and the ios 11,@477312 We're here to help. Would you please tell us which iPhone model are you using and which version of iOS is currently installed?
4,6,@AppleSupport I have iOS 11.1.2 on an iPhone 7,"@756678 You're in the right place for support and we'll be happy to help out. To clarify, which exact version of iOS do you have installed currently? You can check under Settings &gt; General &gt; About. Also, which device are you experiencing these issues with?"
4,7,@AppleSupport Both on IOS 11.1 on an iPhone 6 Plus and an iPhone 5,@510314 We want to get that battery life issue resolved. Which iPhone do you have &amp; what version of iOS is installed currently?
4,8,@AppleSupport iOS 11.0.3 in an iPhone 6. Thanks!,@407450 We're here for you. Can you let us know which version of iOS 11 you're running? You can check from Settings &gt; General &gt; About.
4,9,@AppleSupport iOS 11.0.3 on an iPhone 7 Plus,"@313548 We'd be happy to help. To start, which version of iOS are you using. You can check in Settings &gt; General &gt; About."
4,10,@AppleSupport iOS 11.0.2 on an iPhone 7 Plus,"@540416 What device and OS version are you using? Also, let's see if the information in this article helps: https://t.co/4e5C1TjqKH https://t.co/GDrqU22YpT"
5,1,@AppleSupport I will when my phone is recharged,@195480 We'd like to help with this. Could you please send us a DM so we can gather some info and get started? https://t.co/GDrqU22YpT
5,2,@AppleSupport this is done when the phone is idle.,"@216746 If this is happening with your iPhone, we'd like to take a closer look. Does this happen with every call? Have you restarted?"
5,3,@AppleSupport And this phone is in pristine condition. So,@570882 We'd like to look into this with you. What is your exact iOS version? Does it connect to any Wi-Fi networks?
5,4,@AppleSupport Is there a parental control I can put on my phone to stop apps being purchased from my daughters phone,@275259 We can help with that. Check out this article with steps to cancel this subscription: https://t.co/bOr0wYMLXU
5,5,@AppleSupport Others and my phone has had all updates,"@658436 Are you seeing this issue happening when viewing other people's posts or messages, or is this happening when you're typing your own?"
5,6,@AppleSupport How about just getting me my phone sooner ;),@432109 We'd like to get you over to our Sales Support so they can help out with getting your iPhone X: https://t.co/8gHzWPeVn5
5,7,"@AppleSupport After I updated my phone and it’s only in apps I can type in. Like my messages, twitter. I already reset my phone, already backed it up.","@485869 Hello. We're here to help. When did this issue begin? Also, Is this occurring across different apps or one in particular?"
5,8,@AppleSupport I’ve refreshed the phone and also logged out of my account and back in again. Only on my phone.,@682311  Hello there. Thanks for utilizing our iCloud Storage features. You may need to refresh the account on your device. Do you have only one or several Apple computing products?
5,9,@AppleSupport @AppleSupport thank you ♥️I am on the phone with someone named Michelle 😉😍i pray she can help me !!,@666593 Got it. We've got a team here at Apple that can assist with issues regarding your Apple ID. Click here to reach us: https://t.co/UJm15vmMM2
5,10,@AppleSupport My phone freezes when using the native apps that come with the phone. I started this phone from scratch no backups. My phone is a headache!,@554209 We're happy to help. Tell us what's going on with your iPhone. We can look into it together.
6,1,"@AppleSupport Söylediklerimi İngilizceye çevirip öyle cevap verin o halde, o hizmet sunulacak apple afendi",@326563  We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
6,2,@AppleSupport @191567 i have been to apple about this and it is brock,@191567 We're glad to work with you. What's your iPod model and what issue are you having?
6,3,@AppleSupport Bi cümleyi ingilizceye çevirmeye üşenen Apple dan telefonu onarmasını beklemek 🚬,@669812 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
6,4,@AppleSupport So no. At the very least can I get an Apple sticker?,@303524 Great question. Check out this page for more info: https://t.co/9vc4q6Pbi1 &amp; DM us if you still have questions. https://t.co/GDrqU22YpT
6,5,@AppleSupport My phone is degraded. And İstanbul Apple take cared of me!,@434941 We're here for you! How may we be of assistance today?
6,6,@AppleSupport can Apple help? this has been so frstrating,@663549 We're here to help! Check out this article regarding how to install Bootcamp and let us know if the issue persists: https://t.co/bq81zP1for
6,7,"@AppleSupport i will not be heard anyway, Apple only being Apple",@445838 There isn't a way to hide the Personal Hotspot bar. We encourage you to submit feedback here: https://t.co/GewaBVdeV8
6,8,@AppleSupport Your always there when I need you Apple,@342363 We have a great article to help with what you're seeing. Check out the steps here: https://t.co/CPIXyxe7mK
6,9,@AppleSupport Me and Apple I think def me though!,@662743 Are these playlists created by you or are they Apple playlists?
6,10,@AppleSupport Not sure if Apple will do mistakes in essential tools!,@402598 The calculator is essential; we'll do all we can to help. Connect with us in DM to start: https://t.co/GDrqU22YpT
7,1,@AppleSupport That doesn’t work 🙄 get it together .,@511468 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,2,@AppleSupport I have done that and it still doesn’t work,@506228 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,3,@AppleSupport That doesn’t work either!  Some apps still do the ?,@308781 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,4,@AppleSupport @358289 yoooo that still doesn’t work. fix it now,@358289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,5,@AppleSupport what if my critical ops still doesn't work i have updated it,@232098 Thanks for confirming. What we'd recommend is to back-up and then update your iPad to the latest version. The iPad 4 would be able to run iOS 10.3.3. You can check for updates under Settings &gt; General &gt; Software Update.
7,6,@AppleSupport Still doesn’t work on the 7 plus 😞😞😞,"Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY"
7,7,@AppleSupport That doesn’t work! So I guess I’m SOL,@529426 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,8,@AppleSupport Also some times touch doesn’t work,@389950 Tell us what's happening with your device? Also what version of iOS are you currently running?
7,9,@AppleSupport @513525 This doesn't work if the problem has spread to your Mac.,@513525 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
7,10,@AppleSupport but it doesn’t work and I can’t activate my phone...,"Seamlessly set up your new #iPhoneX, just by holding it near a device you already own. Here's how, with Automatic Setup in iOS 11. https://t.co/aWk5ExytMJ"
8,1,"@AppleSupport Thanks, it was but that’s off now 👍","@322205 Let's take a look! To begin, let's go to Settings &gt; General &gt; Accessibility &gt; Display Accommodations, is Auto-Brightness on?"
8,2,@AppleSupport Thanks. Do you have the same for Europe?,"@157664 Our Online Sales Support would be best suited to assist you, you can reach them here:   https://t.co/K0222CJgiB"
8,3,@AppleSupport No. But now I see this is customizable. Thanks,@406224 Got it. Thank you for letting us know. Have you tried any troubleshooting steps so far?
8,4,@AppleSupport thanks y’all always have my back,"@690114 We want your keyboard working for you; we'll do all we can to help. To start, we released iOS 11.1.1 which is meant to address this issue. If you haven't already, let's back up and update with these steps: https://t.co/ahjigcvFRG"
8,5,"@AppleSupport K thanks, might have to do that then.","@180099 Thanks for reaching out! The short answer is no, it cannot be recovered; only restoring would remove it."
8,6,@AppleSupport Thanks! But there's not a phone for Israel.... :-(,@739557 Did you have the option to reach out by phone?  You can also try this link: https://t.co/HEJVEyu1os
8,7,"@AppleSupport Thanks but no thanks, you are of no help!!!",@821957 We're happy to help. We've received your DM and will work with you there.
8,8,"@AppleSupport See, like this ---&gt; I I I I I I. Thanks @122986",@743469 Thanks for reaching out. Let’s work together to get this addressed. Does that behavior still continue after updating your device? https://t.co/80YRnjDFDk Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT
8,9,"@AppleSupport Not yet, I'll give it at. Thanks!",@279780 Great question! This might vary from store to store. Have you tried reaching out to the Apple Store you'd like to go to?
8,10,"@AppleSupport No i didn’t but i will now, thanks💕","@250651 OK, thanks. Since noticing this behavior, have you had a chance to restart your iPhone? This step may seem simple, but it may help resolve the issue you're experiencing."
9,1,@AppleSupport Yes done all that and still nothing!,"@243693 Alright, have you followed the steps under 'If you don't see notifications on your Apple Watch' here: https://t.co/AXizXSvQ2x"
9,2,@AppleSupport Yes. These are one's I made on my own.,"@164944 We can certainly take a look at this with you. Are these Apple Music playlists, or ones you made on your own?"
9,3,"@AppleSupport Yes, no, and the US, respectively. :)",@258007 Does this key respond better sometimes  and then worse later on? Do you see a connection to having a low battery or being plugged in? Which country are you located in? That information will come in handy for our future steps.
9,4,@AppleSupport Yes. I liked the system before that now.,"@309451 OK, thank you. Has your iPhone been restarted since you noticed this issue with Notifications?"
9,5,@AppleSupport Yes..it has the designated homepage is there.,"@726029 We’d love to help with Safari. Let’s open Safari, and then select Safari &gt; Preferences and choose General. From there, do you see “Homepage” is selected for the option of “New windows open with:”?"
9,6,"@AppleSupport Yes, but the smudging is under the screen so I can’t get to it.",@268729 Thanks for reaching out. We want to help. Have you tried the steps here to clean your iPhone? https://t.co/YPGBJvoILX
9,7,@AppleSupport Yes everything’s enabled. I’ve tried everything. https://t.co/cS6Lwp2w4x,"@521018 In Settings &gt; Notifications &gt; WhatsApp, is ""Alllow Notifications"" enabled?"
9,8,"@AppleSupport and yes, it is happening in more than one.",@728191 Having those in-app purchases available is important. Does this happen after you're asked for your Apple ID password? Is it happening in more than one app?
9,9,"@AppleSupport Yes I’ve done that, and no change.","@727904 OK, thanks for clarifying this for us. Have you restarted your iPhone since you noticed this happening? Let us know if this makes a difference."
9,10,"@AppleSupport Yes, I’ve tried both to see if it made a difference and it didn’t.",@345424 Thanks for reaching out. Is the device connected to cellular or Wi-Fi?
10,1,"@AppleSupport I am so thankful for this help! I can now use “I”, Yay🤗 thank you!",@624175 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
10,2,@AppleSupport Thank you sorry I’m cranky. Life is a crank. Thank you it worked. I know what to do next time,@395966 We want to help. The following article may provide useful information regarding this topic: https://t.co/xXaXeeSRt9
10,3,@AppleSupport Thank you. I️ don’t know if it worked though.,"@594550 We'll do everything we can to help. Take a look at this: https://t.co/xXaXeeSRt9

Reach out via DM if the issue persists. https://t.co/GDrqU22YpT"
10,4,@AppleSupport Thank you very much - see you there.,"@609260 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT"
10,5,@AppleSupport Done and done. Thank you very much!,"@269448 Check the section of https://t.co/lRkxaV8l1D for ""Apple Store Gift Card"" and let us know if that addresses your concern today."
10,6,"@AppleSupport thank you, and #HappyThanksgiving. 🦃for all of you",@140683 We're glad it's working again! If you have any issues or concerns in the future please feel free to reach out. Have a great day!
10,7,@AppleSupport I was asked to do a DM on the issue and I did and the support is a documented / Robotic one. Can you help here,@510067 What kind of issues are you having with the iOS update? We can help.
10,8,@AppleSupport I have sent you a DM - Thank you,@153466 DM us what country or region you're located in and we'll take a further look. https://t.co/GDrqU22YpT
10,9,@AppleSupport And i don't know why it did not charge it's the first time it does that..,"@278602 We can take a look into that battery more with you today. How many hours has your device been off the charger, and what type of use have you been having since then? i.e. Safari, YouTube, etc. Which iOS version are you using under Settings &gt; General &gt; About?"
10,10,@AppleSupport Thank you.. does this have what you need? https://t.co/i9KxXdZmdd,@334306 We're happy to help you with this issue. Go to Settings &gt; General &gt; About and let us know what software version you do have?
11,1,@AppleSupport I have done everything and it’s not working still,"@629727 Thanks for reaching out. For billing issues, you can reach iTunes Support here: 
 https://t.co/SDIe7UiyJN"
11,2,@AppleSupport It all seems to be working again.,@172920 Sounds good. Please keep us posted.
11,3,@AppleSupport Seems to be working for Now after repairing,@128098 Let's next unpair and then pair them again. This article has the steps: https://t.co/UCuy0qGg07
11,4,@AppleSupport I have iPhone x witch is not working,"@671655 Can you please elaborate more on your question so that we can better support you? For example, can you tell us what you mean by jailbreak? Is your phone broken? If so, can you please tell us what is not working for you?"
11,5,@AppleSupport I’ve done that. Still not working.,@624340 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
11,6,@AppleSupport None of this working I’ve done it all,"@685160 Got it. Let's turn the Mac off by holding down the power button for 5 seconds. Once the Mac is off, we'll try to boot the computer into recovery. Here's how: https://t.co/dwZ2UVMxdg"
11,7,@AppleSupport I️ already did that and it’s not working,@533383 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
11,8,@AppleSupport I️ did this and it’s still not working 🤷🏻‍♀️,@513470 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
11,9,"@AppleSupport I did all of these, still not working","@717976 We know how important it is to be able to make calls on your iPhone, so we'd be happy to provide some steps that can help. To start, we'd like to have you take a look at the steps here and let us know if the issue persists: https://t.co/U53YusKX3z"
11,10,"@AppleSupport On wifi it’s not working, but on celular data it’s working !",@293441 Let's team up on this. Have you tried downloading on Wi-Fi and cellular? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT
12,1,@AppleSupport iPhone 6S. But this also happens with my iPhone 7.,@417143 You've reached the right place. We'd like to get to the bottom of what's happening. Which device are we playing the audio from?
12,2,@AppleSupport i have an IPhone 6S ans ios 11.0.3,"@331998 Let's help to take a look at this. Which version of iOS is currently installed? Also, which device is this happening on?"
12,3,@AppleSupport iPhone 6s Plus and these are the profiles https://t.co/xn5DBsbfSB,@167181 Which device are you using? Let's look for and remove profiles that could prevent an update from Settings &gt; General &gt; Profile.
12,4,@AppleSupport I am not. Is there anything I can do from my iPhone? Or anything I should not do?,@532121 We'd be happy to assist. Are you able to go to a computer to browse to https://t.co/tmRhWEkIq4? Thanks.
12,5,@AppleSupport How many retweets for y’all to hook me up With the iPhone X? 🤔,"@701792 We recommend that you report the issue with the Feedback Assistant within the iOS Beta software.
 We can assist you with removing the Beta software and installing the latest public release of iOS. This article shows how to do it: https://t.co/rEEDcjXdhp"
12,6,@AppleSupport 😩😩 so iPhone 7 will never have it,@664594 It's a feature of Portrait Lighting only available on iPhone 8 Plus and iPhone X. You can check it out here: https://t.co/drOvetzcfb
12,7,@AppleSupport @155700 @115858 @115858 sen bi dur arap zaten ortalık karışık herkes iphone x bedava istiyor,@155700 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
12,8,@AppleSupport Gummie an IPhone X and we call it even,@121846 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
12,9,@AppleSupport I have her iPhone with me but she is also here with me.,"@668803 We'd love to help your sister get everything figured out. Have her reach out to us. Or, if you have her iPhone we can get started."
12,10,@AppleSupport No I traded it in to get the iPhone X,@227356 Do you still have your previous iPhone?
13,1,@AppleSupport Do control center does not function as a control center anymore? Turning something off in control center should keep it off.,@550424 Are you unable to turn Bluetooth off from Settings? The link explains how Bluetooth works from Control Center. Questions? DM us. https://t.co/GDrqU22YpT
13,2,"@AppleSupport Hello, it was via Control Center.",@736813 Hello. We can help. It's understandable to want these features tuned off when not in use. Did you use the Control Center to turn off Wi-Fi or did you do it via the Settings app?
13,3,@AppleSupport You cannot close wifi from control center. What is the use of contorl word in control center???,"In iOS 11, you've got more control over the Control Center. Here's how to customize it.

Learn more: https://t.co/zgMxUxLc7d https://t.co/aos5AvxUZO"
13,4,@AppleSupport Music control in control center has ceased to work at all.,@430835 We want to help with your iPhone. Could you share a few details with us about what you're experiencing since updating?
13,5,@AppleSupport And why have icons on the control center that don’t control anything. Isn’t the point of the control center simplification of actions?,"@662573 We have a helpful guide for controlling Bluetooth and Wi-Fi, which you can see here: https://t.co/G7BHuQnDS6 It is expected to need to turn off those features from the Settings app If you want to completely disable Wi-Fi and Bluetooth for all networks and devices."
13,6,@AppleSupport Control center. The swipe-up thing?,@238861 We can help answer this. Are you using the Settings app or the Control Center to turn off your Wi-Fi?
13,7,@AppleSupport I’m turning it off from the control center I believe,"@122947 We know how important your iPhone is. Tell us, are you turning Wi-Fi off from the Control Center or from Settings &gt; Wi-Fi?"
13,8,@AppleSupport Spotify is not showing on my control center.,@179478 Let's work to resolve this together. Tell us what exact issue is happening to not allow you to use your iPhone?
13,9,"@AppleSupport Control center. I turn off data also using the control center. When I check my phone after a few hours, WiFi is on.",@412987 Let's take a look at this for you. Are you turning off Wi-Fi using your Settings or in the Control Center?
13,10,@AppleSupport So what’s the point of control center then? Why can’t I disable and reenable from their?,@155699 Thanks for reaching out. Bluetooth and Wi-Fi remain available for certain features.  This article explains further:  https://t.co/G7BHuQnDS6
14,1,@AppleSupport I have liked and disliked music. How much do I have to do?,"@217555 We can figure this out together. Playlist are created based on the music you like the most, have you liked any music?"
14,2,@AppleSupport I can’t even access the Apple Music library from my music app :( https://t.co/GWO20wlqmw,"@142176 We’d love to help with Apple Music. To start, what behavior do you experience when you try to listen to music with Apple Music?"
14,3,@AppleSupport both. 'Rake It Up' is purchased but the others are from Apple Music.,@303302 Is the music purchased from iTunes or from Apple Music catalog?
14,4,@AppleSupport @740935 When is reputation coming to Apple Music?,@740935 We're here for you. Is this the only music that disappeared?
14,5,@AppleSupport Apple Music starts when i put the headphones in even when I haven’t started Apple Music.,@218657 We can definitely look into this with you. Which music app is playing music?
14,6,@AppleSupport @422753 Apple Music still not working even now since yesterday,@422753 We'd like to work with you. Let's take a look at this together in DM. https://t.co/GDrqU22YpT
14,7,"@AppleSupport Done that, just redirects me to the same screen on music 🙄","@218691 Let's look into this for you. If you are still a student, please select Verify Eligibility and follow the steps. If you are no longer a student please select the 2nd option.  This must be completed within the next 6 days. Send us a DM if you are still having issues. https://t.co/GDrqU22YpT"
14,8,@AppleSupport Only Apple Music app appears to be doing this,@250264 We're here for you. Which device and software version are you using? Are any other apps or functions affected?
14,9,@AppleSupport But I still can't get my music synced. MY music.,@317131 We're happy to help you out with this. What happens when you tap Go To My Music under Try It Now?
14,10,@AppleSupport Yes purchased music and an Apple Music subscription,@302776 Thanks for providing that for us. Are all of your songs downloaded from Apple Music? Do you also have purchased music?
